,Surburb,Property_type,Price,Beds,Baths,Area_Sqm,Town,Constituency
0,Glen Lorne,House,3200000.0,5,4,56280,harare,harare north
1,Arlington,Townhouse Complex,125000.0,3,2,324,harare,harare south
2,Athlone,House,250000.0,3,1,3600,harare,harare east
3,Banket,House,160000.0,3,2,3092,banket,banket
4,Ashdown Park,House,55000.0,6,4,500,harare,harare west
5,Riverside North,House,138000.0,2,1,10000,bulawayo,bulawayo east
6,Chisipite,House,475000.0,3,2,4070,harare,harare north
7,Mandara,House,400000.0,4,3,4703,harare,harare east
8,Glen Lorne,House,360000.0,3,2,4599,harare,harare north
9,Chisipite,Townhouse Complex,500000.0,3,2,3713,harare,harare north
10,Carrick Creagh,House,150000.0,6,7,1500,harare,harare north
11,Chisipite,House,690000.0,4,2,4247,harare,harare north
12,Charlotte Brooke,House,87000.0,5,3,1509,harare,harare north
13,Mainway Meadows,House,90000.0,4,1,600,harare,harare south
14,Philadelphia,House,750000.0,6,1,4600,harare,harare north
15,Tynwald,House,70000.0,3,3,350,harare,harare west
16,Chisipite,House,585000.0,5,6,2700,harare,harare north
17,Greendale,House,155000.0,4,1,1062,harare,harare east
18,Mufakose,House,30000.0,4,1,200,harare,harare high density
19,Suburbs,House,185000.0,3,2,3000,bulawayo,bulawayo east
20,Kambanji,House,750000.0,6,4,3883,harare,harare north
21,Greendale North,Townhouse Complex,195000.0,3,2,250,harare,harare north
22,Chitungwiza,House,26500.0,4,1,207,chitungwiza,chitungwiza
23,The Grange,House,350000.0,6,7,2550,harare,harare north
24,Borrowdale Brooke,House,2300000.0,4,4,3605,harare,harare north
25,Ruwa,House,50000.0,6,2,600,ruwa,ruwa
26,Twinlakes,House,115000.0,4,2,3800,norton,norton
27,Eastlea,House,295000.0,3,1,2404,harare,harare east
28,Borrowdale,House,1050000.0,5,1,4316,harare,harare north
29,Msasa Park,House,55000.0,2,1,400,harare,harare south
30,Rolf Valley,House,3000000.0,3,2,31970,harare,harare north
31,Newlands,House,1800000.0,9,1,5256,harare,harare north
32,Glen Lorne,House,360000.0,4,3,4000,harare,harare north
33,Glen Lorne,House,960000.0,9,8,30451,harare,harare north
34,Bluff Hill,House,84000.0,3,1,858,harare,harare west
35,Marlborough,House,95000.0,2,1,2002,harare,harare west
36,Marlborough,House,350000.0,5,2,6000,harare,harare west
37,Gletwin Park,House,298000.0,5,3,3500,harare,harare north
38,Christon Bank,House,570000.0,4,2,20234,christon,christon bank
39,Borrowdale,House,785000.0,8,8,4046,harare,harare north
40,Prospect,House,100000.0,4,2,644,harare,harare south
41,Charlotte Brooke,House,100000.0,5,1,1200,harare,harare north
42,Woodlands,House,160000.0,4,1,2585,bulawayo,bulawayo east
43,Glen Forest,House,550000.0,4,2,68340,harare,harare north
44,Philadelphia,House,895000.0,6,8,7342,harare,harare north
45,Avondale,House,1400000.0,4,4,5000,harare,harare north
46,Ruwa,House,70000.0,4,3,413,ruwa,ruwa
47,Borrowdale Brooke,House,320000.0,2,1,6700,harare,harare north
48,Greystone Park,House,600000.0,5,1,4047,harare,harare north
49,Kariba,House,200000.0,4,2,1641,kariba,kariba
50,Marlborough,House,350000.0,4,2,6000,harare,harare west
51,Mbizo,House,35000.0,3,1,575,kwekwe,kwekwe
52,Quinnington,Townhouse Complex,370000.0,3,1,850,harare,harare north
53,Belvedere,House,195000.0,4,1,1400,harare,harare west
54,Marimba Park,Cottage,55000.0,2,1,1000,harare,harare high density
55,Avondale West,House,195000.0,3,2,1400,harare,harare west
56,Colne Valley,Townhouse Complex,345000.0,3,2,800,harare,harare north
57,Mount Pleasant Heights,House,320000.0,6,3,2000,harare,harare north
58,Glen View,House,40000.0,4,1,200,harare,harare high density
59,Tynwald,House,85000.0,3,1,400,harare,harare west
60,Hillside,House,200000.0,5,3,1401,harare,harare south
61,Marlborough,House,350000.0,4,1,4000,harare,harare west
62,Marondera,House,120000.0,2,1,2200,marondera,marondera
63,Quinnington,Townhouse Complex,370000.0,3,2,850,harare,harare north
64,Ilanda,House,140000.0,3,2,1669,bulawayo,bulawayo east
65,Greendale,Townhouse Complex,145000.0,3,2,4000,harare,harare east
66,Highlands,House,500000.0,4,2,4493,harare,harare north
67,Zimre Park,House,90000.0,3,2,485,harare,harare east
68,Glen View,House,35000.0,4,1,300,harare,harare high density
69,Mount Pleasant Heights,House,240000.0,4,2,1360,harare,harare north
70,Greystone Park,House,525000.0,5,3,5425,harare,harare north
71,Mount Pleasant,House,400000.0,3,3,1939,harare,harare north
72,Rhodesville,House,350000.0,3,2,1517,harare,harare east
73,Newlands,House,360000.0,3,2,2800,harare,harare north
74,Westgate,House,185000.0,4,2,948,harare,harare west
75,Ashdown Park,House,140000.0,3,2,617,harare,harare west
76,Glen Norah,House,25000.0,3,1,300,harare,harare high density
77,Alexandra Park,House,650000.0,5,4,3500,harare,harare north
78,Chisipite,House,800000.0,4,1,6953,harare,harare north
