,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
0,0,Glen Lorne - House,"$3,200,000",5 bedrooms,4 bathrooms,56280 m²,harare north
1,1,"Arlington - Townhouse Complex, House","$125,000",3 bedrooms,2 bathrooms,324 m²,harare south
2,2,Athlone - House,"$250,000",3 bedrooms,not stated,3600 m²,harare east
3,3,Banket - House,"$160,000",3 bedrooms,2 bathrooms,3092 m²,banket
4,4,Ashdown Park - House,"$55,000",6 bedrooms,4 bathrooms,500 m²,harare west
5,5,Riverside North - House,"$138,000",2 bedrooms,1 bathrooms,10000 m²,bulawayo east
6,6,Chisipite - House,"$475,000",3 bedrooms,2 bathrooms,4070 m²,harare north
7,7,Mandara - House,"$400,000",4 bedrooms,3 bathrooms,4703 m²,harare east
8,8,Glen Lorne - House,"$360,000",3 bedrooms,2 bathrooms,4599 m²,harare north
9,9,Chisipite - Townhouse Complex,"$500,000",3 bedrooms,2 bathrooms,3713 m²,harare north
10,10,Carrick Creagh - House,"$150,000",6 bedrooms,7 bathrooms,1500 m²,harare north
11,11,Chisipite - House,"$690,000",4 bedrooms,2 bathrooms,4247 m²,harare north
12,12,Charlotte Brooke - House,"$87,000",5 bedrooms,3 bathrooms,1509 m²,harare north
13,13,Mainway Meadows - House,"$90,000",4 bedrooms,not stated,600 m²,harare south
14,14,Philadelphia - House,"$750,000",6 bedrooms,not stated,4600 m²,harare north
15,15,Tynwald - House,"$70,000",3 bedrooms,3 bathrooms,350 m²,harare west
16,16,"Chisipite - House, House","$585,000",5 bedrooms,6 bathrooms,2700 m²,harare north
17,17,Greendale - House,"$155,000",4 bedrooms,not stated,1062 m²,harare east
18,18,Mufakose - House,"$30,000",4 bedrooms,1 bathrooms,200 m²,harare high density
19,19,Suburbs - House,"$185,000",3 bedrooms,2 bathrooms,3000 m²,bulawayo east
20,20,Kambanji - House,"$750,000",6 bedrooms,4 bathrooms,3883 m²,harare north
21,21,Greendale North - Townhouse Complex,"$195,000",3 bedrooms,2 bathrooms,250 m²,harare north
22,22,Chitungwiza - House,"$26,500",4 bedrooms,not stated,207 m²,chitungwiza
23,23,The Grange - House,"$350,000",6 bedrooms,7 bathrooms,2550 m²,harare north
